link,nome,eh_pessoa,probabilidade,id
https://pt.wikipedia.org/wiki/Orlando_Geisel,Orlando_Geisel,False,1.0,60
https://pt.wikipedia.org/wiki/Braga_Netto,Braga_Netto,False,1.0,61
https://pt.wikipedia.org/wiki/Jos%C3%A9_Vicente_de_Amorim_Bezerra,Jos%C3%A9_Vicente_de_Amorim_Bezerra,False,1.0,62
https://pt.wikipedia.org/wiki/Funda%C3%A7%C3%A3o_Wikimedia,Funda%C3%A7%C3%A3o_Wikimedia,False,0.0,63
https://pt.wikipedia.org/wiki/Benjamin_Eurico_Cruz,Benjamin_Eurico_Cruz,False,0.83,64
https://pt.wikipedia.org/wiki/Jo%C3%A3o_do_Rio,Jo%C3%A3o_do_Rio,False,1.0,65
https://pt.wikipedia.org/wiki/Joaquim_Levy,Joaquim_Levy,False,1.0,66
https://pt.wikipedia.org/wiki/Lista_de_viagens_vice-presidenciais_de_Hamilton_Mour%C3%A3o,Lista_de_viagens_vice-presidenciais_de_Hamilton_Mour%C3%A3o,False,0.0,67
https://pt.wikipedia.org/wiki/Campo_da_Gra%C3%A7a,Campo_da_Gra%C3%A7a,False,0.0,68
https://pt.wikipedia.org/wiki/Honoris_causa,Honoris_causa,False,0.0,69
https://pt.wikipedia.org/wiki/Assassinato,Assassinato,False,0.0,70
https://pt.wikipedia.org/wiki/Luiz_Marinho,Luiz_Marinho,False,0.83,71
https://pt.wikipedia.org/wiki/Jos%C3%A9_Mindlin,Jos%C3%A9_Mindlin,False,1.0,72
https://pt.wikipedia.org/wiki/Rio_Grande_do_Sul,Rio_Grande_do_Sul,False,0.0,73
https://pt.wikipedia.org/wiki/Atal%C3%ADbio_Ant%C3%B4nio_Foscarini,Atal%C3%ADbio_Ant%C3%B4nio_Foscarini,False,0.83,74
https://pt.wikipedia.org/wiki/Dia_Internacional_da_Democracia,Dia_Internacional_da_Democracia,False,0.0,75
https://pt.wikipedia.org/wiki/Centro_C%C3%ADvico_(Curitiba),Centro_C%C3%ADvico_(Curitiba),False,0.0,76
https://pt.wikipedia.org/wiki/Fernando_Collor,Fernando_Collor,False,1.0,77
https://pt.wikipedia.org/wiki/Conrado_Heck,Conrado_Heck,False,0.83,78
https://pt.wikipedia.org/wiki/Gustavo_Loyola,Gustavo_Loyola,False,1.0,79
https://pt.wikipedia.org/wiki/Jos%C3%A9_Rodrigues_de_Lima_Duarte,Jos%C3%A9_Rodrigues_de_Lima_Duarte,False,1.0,80
https://pt.wikipedia.org/wiki/1958,1958,False,0.0,81
https://pt.wikipedia.org/wiki/Clarice_Lispector,Clarice_Lispector,False,1.0,82
https://pt.wikipedia.org/wiki/Francisco_Vilela_Barbosa,Francisco_Vilela_Barbosa,False,0.83,83
https://pt.wikipedia.org/wiki/S%C3%ADlvio_Borges_de_Sousa_Mota,S%C3%ADlvio_Borges_de_Sousa_Mota,False,0.83,84
https://pt.wikipedia.org/wiki/Minist%C3%A9rio_da_Justi%C3%A7a_e_Seguran%C3%A7a_P%C3%BAblica,Minist%C3%A9rio_da_Justi%C3%A7a_e_Seguran%C3%A7a_P%C3%BAblica,False,0.0,85
https://pt.wikipedia.org/wiki/Zenildo_Gonzaga_Zoroastro_de_Lucena,Zenildo_Gonzaga_Zoroastro_de_Lucena,False,0.67,86
https://pt.wikipedia.org/wiki/Lu%C3%ADs_Filipe_Castro_Mendes,Lu%C3%ADs_Filipe_Castro_Mendes,False,0.83,87
https://pt.wikipedia.org/wiki/Loucos_pelo_Botafogo,Loucos_pelo_Botafogo,False,0.0,88
https://pt.wikipedia.org/wiki/Jos%C3%A9_do_Rego_Maciel,Jos%C3%A9_do_Rego_Maciel,False,0.67,89
https://pt.wikipedia.org/wiki/Francisco_Xavier_Monteiro_de_Fran%C3%A7a,Francisco_Xavier_Monteiro_de_Fran%C3%A7a,False,0.33,90
https://pt.wikipedia.org/wiki/Publifolha,Publifolha,False,0.0,91
https://pt.wikipedia.org/wiki/Funda%C3%A7%C3%A3o_Osvaldo_Cruz,Funda%C3%A7%C3%A3o_Osvaldo_Cruz,False,0.17,92
https://pt.wikipedia.org/wiki/Au%C3%B1amendi_Eusko_Entziklopedia,Au%C3%B1amendi_Eusko_Entziklopedia,False,0.0,93
https://pt.wikipedia.org/wiki/Affonso_Camargo_Neto,Affonso_Camargo_Neto,False,1.0,94
https://pt.wikipedia.org/wiki/Minist%C3%A9rio_p%C3%BAblico_do_trabalho,Minist%C3%A9rio_p%C3%BAblico_do_trabalho,False,0.0,95
https://pt.wikipedia.org/wiki/Ant%C3%B4nio_Carneiro_Le%C3%A3o,Ant%C3%B4nio_Carneiro_Le%C3%A3o,False,1.0,96
https://pt.wikipedia.org/wiki/Xarope_de_chocolate,Xarope_de_chocolate,False,0.0,97
https://pt.wikipedia.org/wiki/Caixa_dois,Caixa_dois,False,0.0,98
https://pt.wikipedia.org/wiki/Joaquim_Jos%C3%A9_Pinheiro_de_Vasconcelos,Joaquim_Jos%C3%A9_Pinheiro_de_Vasconcelos,False,0.67,99
https://pt.wikipedia.org/wiki/Edson_Santos,Edson_Santos,False,0.67,100
