titulo,ordem,ano_estreia,ano_encerramento,episodios,classificacao_indicativa,nota_imdb,link,popularidade,id
O Gambito da Rainha,199,2020,,7,16,8.5,https://www.imdb.com/pt/title/tt10048342/?ref_=chttvtp_i_199,381.0,199
Coupling,200,2000,2004.0,28,14,8.5,https://www.imdb.com/pt/title/tt0237123/?ref_=chttvtp_i_200,1.901,200
Mr. Robot: Sociedade Hacker,201,2015,2019.0,45,16,8.5,https://www.imdb.com/pt/title/tt4158110/?ref_=chttvtp_i_201,144.0,201
Rocket Boys,202,2022,,16,0,8.8,https://www.imdb.com/pt/title/tt13868972/?ref_=chttvtp_i_202,3.328,202
I'm Alan Partridge,203,1997,2002.0,12,0,8.6,https://www.imdb.com/pt/title/tt0129690/?ref_=chttvtp_i_203,3.003,203
Samurai Jack,204,2001,2017.0,62,0,8.5,https://www.imdb.com/pt/title/tt0278238/?ref_=chttvtp_i_204,1.155,204
Detectoristas,205,2014,2022.0,20,10,8.6,https://www.imdb.com/pt/title/tt4082744/?ref_=chttvtp_i_205,1.562,205
Apenas um Show,206,2010,2017.0,44,12,8.6,https://www.imdb.com/pt/title/tt1710308/?ref_=chttvtp_i_206,774.0,206
Ezel,207,2009,2011.0,71,12,8.6,https://www.imdb.com/pt/title/tt1534360/?ref_=chttvtp_i_207,1.598,207
Making a Murderer,208,2015,2018.0,20,16,8.5,https://www.imdb.com/pt/title/tt5189670/?ref_=chttvtp_i_208,1.954,208
Happy Valley,209,2014,2023.0,18,16,8.5,https://www.imdb.com/pt/title/tt3428912/?ref_=chttvtp_i_209,438.0,209
Em Duas Rodas com Ewan McGregor,210,2004,2010.0,10,0,8.6,https://www.imdb.com/pt/title/tt0403778/?ref_=chttvtp_i_210,3.159,210
Solo Leveling,211,2024,,26,16,8.6,https://www.imdb.com/pt/title/tt21209876/?ref_=chttvtp_i_211,231.0,211
The Last of Us,212,2023,,17,16,8.5,https://www.imdb.com/pt/title/tt3581920/?ref_=chttvtp_i_212,69.0,212
Derry Girls,213,2018,2022.0,19,14,8.5,https://www.imdb.com/pt/title/tt7120662/?ref_=chttvtp_i_213,491.0,213
Spaced,214,1999,2001.0,14,14,8.5,https://www.imdb.com/pt/title/tt0187664/?ref_=chttvtp_i_214,1.98,214
Tirando a Maior Onda,215,2011,,20,12,8.5,https://www.imdb.com/pt/title/tt2100976/?ref_=chttvtp_i_215,1.552,215
Mob Psycho 100,216,2016,2022.0,37,14,8.5,https://www.imdb.com/pt/title/tt5897304/?ref_=chttvtp_i_216,827.0,216
Twin Peaks,217,2017,,18,16,8.5,https://www.imdb.com/pt/title/tt4093826/?ref_=chttvtp_i_217,426.0,217
Filhos da Anarquia,218,2008,2014.0,92,16,8.5,https://www.imdb.com/pt/title/tt1124373/?ref_=chttvtp_i_218,141.0,218
Whose Line Is It Anyway?,219,1998,2007.0,20,0,8.5,https://www.imdb.com/pt/title/tt0163507/?ref_=chttvtp_i_219,2.579,219
Yellowstone,220,2018,2024.0,53,18,8.6,https://www.imdb.com/pt/title/tt4236770/?ref_=chttvtp_i_220,47.0,220
Mind Your Language,221,1977,1986.0,42,10,8.7,https://www.imdb.com/pt/title/tt0075537/?ref_=chttvtp_i_221,3.031,221
The Eric Andre Show,222,2012,,68,16,8.5,https://www.imdb.com/pt/title/tt2244495/?ref_=chttvtp_i_222,3.157,222
Louie,223,2010,2015.0,61,0,8.5,https://www.imdb.com/pt/title/tt1492966/?ref_=chttvtp_i_223,1.869,223
O Urso,224,2022,,39,14,8.5,https://www.imdb.com/pt/title/tt14452776/?ref_=chttvtp_i_224,63.0,224
Neon Genesis Evangelion,225,1995,1996.0,26,14,8.5,https://www.imdb.com/pt/title/tt0112159/?ref_=chttvtp_i_225,685.0,225
Através do Buraco de Minhoca,226,2010,2017.0,62,0,8.6,https://www.imdb.com/pt/title/tt1513168/?ref_=chttvtp_i_226,4.001,226
Jujutsu Kaisen,227,2020,,48,14,8.5,https://www.imdb.com/pt/title/tt12343534/?ref_=chttvtp_i_227,188.0,227
The Office,228,2001,2003.0,14,12,8.5,https://www.imdb.com/pt/title/tt0290978/?ref_=chttvtp_i_228,867.0,228
Alquimia das Almas,229,2022,2023.0,30,14,8.7,https://www.imdb.com/pt/title/tt20859920/?ref_=chttvtp_i_229,599.0,229
Trailer Park Boys,230,2001,2026.0,16,16,8.5,https://www.imdb.com/pt/title/tt0290988/?ref_=chttvtp_i_230,884.0,230
A Amiga Genial,231,2018,2024.0,34,16,8.6,https://www.imdb.com/pt/title/tt7278862/?ref_=chttvtp_i_231,1.204,231
Criaturas Grandes e Pequenas,232,2020,,39,0,8.6,https://www.imdb.com/pt/title/tt10590066/?ref_=chttvtp_i_232,266.0,232
Schitt's Creek,233,2015,2020.0,80,16,8.5,https://www.imdb.com/pt/title/tt3526078/?ref_=chttvtp_i_233,295.0,233
Silicon Valley,234,2014,2019.0,53,14,8.5,https://www.imdb.com/pt/title/tt2575988/?ref_=chttvtp_i_234,466.0,234
Brass Eye,235,1997,2001.0,17,0,8.6,https://www.imdb.com/pt/title/tt0118273/?ref_=chttvtp_i_235,3.374,235
The Expanse,236,2015,2022.0,62,14,8.5,https://www.imdb.com/pt/title/tt3230854/?ref_=chttvtp_i_236,242.0,236
Futurama,237,1999,,80,14,8.5,https://www.imdb.com/pt/title/tt0149460/?ref_=chttvtp_i_237,157.0,237
Fullmetal Alchemist,238,2003,2004.0,51,12,8.5,https://www.imdb.com/pt/title/tt0421357/?ref_=chttvtp_i_238,1.289,238
Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,239,1999,,94,0,8.6,https://www.imdb.com/pt/title/tt0203082/?ref_=chttvtp_i_239,2.803,239
Avrupa Yakasi,240,2004,2009.0,90,0,8.6,https://www.imdb.com/pt/title/tt0421291/?ref_=chttvtp_i_240,3.73,240
Hannibal,241,2013,2015.0,39,18,8.5,https://www.imdb.com/pt/title/tt2243973/?ref_=chttvtp_i_241,230.0,241
Gintama,242,2005,2021.0,75,16,8.7,https://www.imdb.com/pt/title/tt0988818/?ref_=chttvtp_i_242,838.0,242
Skam,243,2015,2017.0,43,12,8.6,https://www.imdb.com/pt/title/tt5288312/?ref_=chttvtp_i_243,1.81,243
Shameless,244,2011,2021.0,34,18,8.5,https://www.imdb.com/pt/title/tt1586680/?ref_=chttvtp_i_244,73.0,244
O Pecado Original de Takopi,245,2025,,56,0,8.8,https://www.imdb.com/pt/title/tt36988358/?ref_=chttvtp_i_245,461.0,245
North & South,246,2004,,44,0,8.5,https://www.imdb.com/pt/title/tt0417349/?ref_=chttvtp_i_246,1.582,246
The Great British Bake Off,247,2010,,95,0,8.6,https://www.imdb.com/pt/title/tt1877368/?ref_=chttvtp_i_247,662.0,247
Wentworth - Por Trás das Grades,248,2013,2021.0,0,18,8.6,https://www.imdb.com/pt/title/tt2433738/?ref_=chttvtp_i_248,1.234,248
Doctor Who,249,2005,2022.0,75,10,8.5,https://www.imdb.com/pt/title/tt0436992/?ref_=chttvtp_i_249,154.0,249
Fórmula 1: Dirigir para Viver,250,2019,,71,14,8.5,https://www.imdb.com/pt/title/tt8289930/?ref_=chttvtp_i_250,1.327,250
